pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,confidence,model_version,strategy_type,strategy_label,market_regime_key,market_regime_label,market_breadth_20d,market_breadth_60d,market_avg_momentum_20d,market_amount_trend,market_volatility_20d,adaptive_note,effective_buy_score_threshold,score_weight_alpha,score_weight_fundamental,score_weight_valuation,score_weight_liquidity,score_weight_risk,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,alpha_score,liquidity_capacity_score,risk_control_score,crowding_penalty,momentum_score,medium_momentum_score,long_momentum_score,liquidity_score,capacity_score,trend20_score,trend60_score,trend120_score,stability_score,tradability_score,reversal_risk_score,board,source_time,industry,market,fundamental_quality_score,valuation_sanity_score,financial_data_score,data_completeness,raw_institutional_score,score_rank,gate_penalty_score,amount_ma20_yi,amount_ma60_yi,volatility_60d,garp_score,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv_yi,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps,end_date
1,2026-06-18,600961,株冶集团,28.82,81.57,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 81.6；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 10.08%；60日动量 63.75%；20日成交 11.98亿；换手 10.9482%；PE_TTM 15.5223；ROE 22.6744；门禁扣分 0.0；观察候选,True,2312809.499,23.128094989999997,7.9401,87.0,10.37,-1.09,62.05,63.2,76.74,3.6,0.5052521008403367,0.47727272727272735,0.0,0.6861520998864926,0.5683494044242768,0.6092713890727833,0.5155838687408875,0.5311678537215518,0.5130533484676504,1.0,0.8199576370910804,main,tushare_proxy,铅锌,主板,81.57,65.1,1.0,1.0,66.84,0.9937606352807714,0.0,11.9839413115,13.037883282666666,0.7098073238664462,0.0,10.9482,,15.5223,6.1187,1.2646,,309.20191214,22.6744,24.0894,313.0,45.9024,40.7098,1.4139,20260331
2,2026-06-18,002384,东山精密,273.0,79.9,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 79.9；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 31.90%；60日动量 135.22%；20日成交 193.89亿；换手 5.7416%；PE_TTM 245.1005；ROE 4.8041；门禁扣分 0.0；观察候选,True,21311192.1542,213.11192154199998,6.2588,79.5,8.74,0.0,66.9,96.98,69.67,3.91,0.6242385304568229,0.0,0.0,0.9977298524404086,0.9863868406125922,0.9670967355336123,1.0,1.0,0.25368898978433596,1.0,1.0,main,tushare_proxy,元器件,主板,69.65,45.44,1.0,1.0,64.88,0.9852524106636416,0.0,193.8877674691,158.40778298686666,0.7870580450846691,0.465526785241511,5.7416,,245.1005,22.0883,11.1963,,5000.288475,4.8041,19.3275,143.471,52.7234,63.6888,0.6151,20260331
3,2026-06-18,000831,中国稀土,61.9,79.53,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 79.5；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 20.99%；60日动量 33.06%；20日成交 27.44亿；换手 7.3587%；PE_TTM 275.4137；ROE 2.8356；门禁扣分 3.0；观察候选,True,4813388.3239,48.133883239,4.7555,69.3,8.26,-0.83,82.21,85.43,88.86,2.71,0.9191091012826742,0.9374531939089668,0.0,0.8870601589103292,0.8428814520703346,0.7252264484329957,0.49539198261145934,0.3997087941943323,0.6430192962542565,1.0,1.0,main,tushare_proxy,小金属,主板,62.06,32.18,1.0,1.0,68.07,0.996596710153148,3.0,27.436302187625,21.657833235375,0.5333965661429221,0.24319972021220693,7.3587,,275.4137,13.2783,20.0571,,656.8956752,2.8356,20.8361,90.7983,12.7857,11.0458,0.0808,20260331
4,2026-06-18,688498,源杰科技,1673.36,79.35,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,alpha_buy_gate,短期高弹性 2-8周；综合评分 79.3；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 61.20%；60日动量 50.08%；20日成交 81.23亿；换手 3.5827%；PE_TTM 585.132；ROE 7.3271；门禁扣分 4.0；观察候选,True,7341815.16,73.4181516,3.8065,67.9,7.46,-0.74,57.41,93.05,73.09,2.38,0.0,0.725845890179203,0.0,0.9795686719636776,0.9653998865570051,1.0,0.6741618732457187,0.8509632919377856,0.21509648127128267,1.0,0.8810761739704547,star,tushare_proxy,半导体,科创板,94.57,40.6,1.0,1.0,69.13,0.9988655700510494,4.0,81.227502767,58.571129072,1.0444669460860256,0.7247790730492071,3.5827,,585.132,82.5173,238.8295,0.0411,2083.33822008,7.3271,77.8079,1153.072,320.9399,10.7162,0.4613,20260331
5,2026-06-18,600909,华安证券,8.97,79.24,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,high_debt_ratio,短期高弹性 2-8周；综合评分 79.2；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 25.98%；60日动量 53.07%；20日成交 17.85亿；换手 4.8623%；PE_TTM 22.3432；ROE 1.715；门禁扣分 3.0；观察候选,True,2168825.624,21.688256239999998,2.0478,63.6,6.26,-0.23,82.67,83.39,81.91,2.04,0.7842392954752503,0.6714241390009308,0.0,0.800794551645857,0.7782189449801474,0.8638355258808755,0.9283820810407433,0.787092956003605,0.7060158910329171,1.0,1.0,main,tushare_proxy,证券,主板,35.79,68.41,1.0,1.0,67.68,0.9960294951786727,3.0,17.8495424115,9.479499293166667,0.4717859317279522,0.0,4.8623,,22.3432,1.7084,9.3882,1.4533,450.67157421,1.715,,-17.4,-21.6102,76.2818,0.6436,20260331
6,2026-06-18,600141,兴发集团,38.65,78.81,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 78.8；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 23.13%；60日动量 21.54%；20日成交 14.78亿；换手 6.374%；PE_TTM 32.2979；ROE 0.8955；门禁扣分 0.0；观察候选,True,2919916.002,29.199160019999997,2.7926,68.9,6.84,0.64,74.19,79.43,74.95,1.01,0.8613950044341891,0.5658348549401497,0.0,0.7451759364358683,0.7855927396483268,0.8468168893509026,0.49669393019794084,0.3300552406392462,0.38479001135073776,1.0,0.9561899894125805,main,tushare_proxy,农药化肥,主板,25.83,74.63,1.0,1.0,63.58,0.9801474758933636,0.0,14.7769865445,11.704884038833333,0.55319278715734,0.0,6.374,,32.2979,1.8568,1.5733,2.3753,464.47247135,0.8955,13.6701,-17.3743,3.089,48.4997,-0.923,20260331
7,2026-06-18,688525,佰维存储,386.2,78.54,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,valuation_expensive_or_invalid,短期高弹性 2-8周；综合评分 78.5；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 28.31%；60日动量 61.67%；20日成交 130.54亿；换手 9.8214%；PE_TTM 46.1118；ROE 40.3727；门禁扣分 3.0；观察候选,True,17529884.495,175.29884495000002,4.3784,79.5,7.89,-1.89,74.24,87.64,73.53,2.69,0.7214689772829309,0.5150703281982587,0.0,0.9897843359818388,0.9597277368122519,0.8857684061145478,0.8036752216297156,0.9517338005762834,0.3893303064699205,1.0,1.0,star,tushare_proxy,半导体,科创板,78.31,32.73,1.0,1.0,66.82,0.9931934203062961,3.0,130.5354075255,113.66226246883333,0.8385735492829531,0.0,9.8214,,46.1118,21.3953,10.9886,0.0554,1821.1905954,40.3727,53.3049,1567.8539,341.528,64.9551,-5.748,20260331
8,2026-06-18,600888,新疆众和,13.14,78.23,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,,短期高弹性 2-8周；综合评分 78.2；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 40.23%；60日动量 63.23%；20日成交 13.30亿；换手 9.387%；PE_TTM 28.94；ROE 2.0274；门禁扣分 0.0；观察候选,True,1876903.608,18.76903608,6.8293,84.9,7.56,3.9,63.09,66.29,79.02,1.63,0.3990596786754732,0.4867306606437044,0.0,0.7179341657207718,0.5519001701644923,0.7327517662029929,0.8837176848665196,0.7886924041735008,0.4341657207718501,1.0,1.0,main,tushare_proxy,铝,主板,43.74,71.34,1.0,1.0,62.83,0.9784458309699376,0.0,13.2985689815,6.606859457166666,0.5385362927414115,0.5430245485412096,9.387,,28.94,1.5941,2.6152,0.9893,204.07548726,2.0274,20.6986,19.5194,-4.8468,39.983,0.0336,20260331
9,2026-06-18,601138,工业富联,78.08,76.91,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,alpha_buy_gate,短期高弹性 2-8周；综合评分 76.9；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 19.21%；60日动量 55.23%；20日成交 188.04亿；换手 2.1415%；PE_TTM 38.1166；ROE 5.9765；门禁扣分 4.0；观察候选,True,33063388.881,330.63388881000003,7.489,77.1,10.94,-0.88,59.7,87.68,74.67,1.86,0.9674025170208375,0.6322067594433397,0.0,0.9960272417707151,0.9977311401020987,0.3797997763168651,0.5479339972657781,0.5808062614252435,0.5175936435868331,1.0,0.8691284039834319,main,tushare_proxy,通信设备,主板,67.7,53.48,1.0,1.0,66.12,0.9892229154849688,4.0,188.0421622755,149.55494632966665,0.6019315079258979,0.46771803960928904,2.1415,,38.1166,8.7927,1.5595,1.2427,15494.267267840001,5.9765,7.3505,102.5485,56.5178,61.3822,1.261,20260331
10,2026-06-18,000630,铜陵有色,7.65,76.88,watch,0.0,watch_candidate,medium,institutional_score_v6_short_adaptive_tushare,short_elastic_2_8w,短期高弹性 2-8周,defensive,缩量防御,0.2153,0.3031,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,82.0,0.22,0.22,0.18,0.15,0.23,weak_close_position,短期高弹性 2-8周；综合评分 76.9；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 32.35%；60日动量 28.36%；20日成交 40.34亿；换手 7.6823%；PE_TTM 39.0075；ROE 1.5011；门禁扣分 6.0；观察候选,True,6598819.89592,65.9881989592,1.1905,42.2,8.47,-2.25,71.45,88.03,74.07,1.26,0.6120826709062005,0.7856678934834381,0.0,0.9375709421112373,0.8848553601815088,0.5966293614219883,0.5134827595331976,0.3696297740119471,0.35414301929625425,1.0,0.9953375606117122,main,tushare_proxy,铜,主板,52.11,68.59,1.0,1.0,68.51,0.9977311401020987,6.0,40.342547026155,25.603078626218334,0.5869806613388578,0.38268504663261527,7.6823,,39.0075,2.7366,0.5074,1.3072,1025.82456975,1.5011,7.577,19.1171,83.6064,54.3423,0.4945,20260331
