pool_rank,trade_date,symbol,name,close,price_factor_score,action,target_weight,recommendation_tier,confidence,model_version,strategy_type,strategy_label,stock_profile,stock_profile_label,profile_adjust_note,profile_score_adjust,profile_penalty_scale,profile_max_action,market_regime_key,market_regime_label,market_breadth_20d,market_breadth_60d,market_avg_momentum_20d,market_amount_trend,market_volatility_20d,adaptive_note,effective_buy_score_threshold,score_weight_alpha,score_weight_fundamental,score_weight_valuation,score_weight_liquidity,score_weight_risk,risk_flags,reason,review_required,amount,amount_yi,pct_change,intraday_position_pct,amplitude_pct_display,gap_pct_display,alpha_score,liquidity_capacity_score,risk_control_score,crowding_penalty,momentum_score,medium_momentum_score,long_momentum_score,liquidity_score,capacity_score,trend20_score,trend60_score,trend120_score,stability_score,tradability_score,reversal_risk_score,board,source_time,industry,market,fundamental_quality_score,valuation_sanity_score,financial_data_score,data_completeness,raw_institutional_score,score_rank,gate_penalty_score,amount_ma20_yi,amount_ma60_yi,volatility_60d,garp_score,turnover_rate,volume_ratio,pe_ttm,pb,ps_ttm,dv_ttm,total_mv_yi,roe_dt,grossprofit_margin,netprofit_yoy,or_yoy,debt_to_assets,ocfps,end_date
1,2026-06-18,601958,金钼股份,27.7,82.95,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,high_vol_theme,高波动题材,高波动题材保留弹性机会，但必须用更高风控、成交和收盘确认过滤。,-1.0,1.12,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,80.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 83.0；个股画像 高波动题材，高波动题材保留弹性机会，但必须用更高风控、成交和收盘确认过滤。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 31.16%；60日动量 46.25%；20日成交 26.79亿；换手 5.99%；PE_TTM 26.4548；ROE 4.5496；门禁扣分 0.0；核心候选,True,5451148.332,54.51148332,-2.7046,20.7,6.78,0.11,62.09,89.08,77.01,1.98,0.6444512694512695,0.7954305462225213,0.16290452187888074,0.8819523269012486,0.892229154849688,0.7125557489844984,0.7230039905320843,0.6944796711226894,0.37172177879133406,1.0,0.8540759794222398,main,tushare_proxy,小金属,主板,69.6,67.02,1.0,1.0,68.56,0.9988655700510494,0.0,26.788227265,14.421275246166665,0.6948811397241883,0.9831729159601608,5.99,,26.4548,4.5123,6.0761,1.444,893.7694187999999,4.5496,38.3152,32.9922,26.6677,11.8566,0.0356,20260331
2,2026-06-18,600160,巨化股份,44.12,81.8,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,high_vol_theme,高波动题材,高波动题材保留弹性机会，但必须用更高风控、成交和收盘确认过滤。,-1.0,1.12,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,80.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 81.8；个股画像 高波动题材，高波动题材保留弹性机会，但必须用更高风控、成交和收盘确认过滤。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 35.42%；60日动量 24.60%；20日成交 38.68亿；换手 6.0257%；PE_TTM 28.6853；ROE 5.5349；门禁扣分 0.0；核心候选,True,7295143.712,72.95143712000001,-7.5052,22.2,8.22,-1.11,63.48,92.1,79.4,2.25,0.529175584424203,0.6644377841142017,0.7576156037694495,0.9335981838819524,0.926829268292683,0.6148170032855357,0.5602136191765987,0.4219672587606155,0.6590649942987457,1.0,0.7319556753519013,main,tushare_proxy,化工原料,主板,65.96,62.44,1.0,1.0,67.09,0.9954622802041974,0.0,38.6781180225,21.336838509666666,0.5462432478302599,0.8567728318785481,6.0257,,28.6853,5.5111,4.3778,1.2693,1191.12797932,5.5349,34.3878,45.9262,3.7479,38.4052,0.3486,20260331
3,2026-06-18,605020,永和股份,34.17,80.35,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,small_elastic,小盘高弹性,小盘弹性股不简单按大票流动性标准扣分，重点确认动量、换手和成交承接。,1.8,0.88,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,77.0,0.15,0.31,0.21,0.09,0.24,,中长期质量成长 3-12月；综合评分 80.3；个股画像 小盘高弹性，小盘弹性股不简单按大票流动性标准扣分，重点确认动量、换手和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 4.18%；60日动量 34.00%；20日成交 10.70亿；换手 10.7995%；PE_TTM 27.0816；ROE 3.0086；门禁扣分 0.0；核心候选,True,1903657.54,19.0365754,-7.8976,9.6,9.25,0.35,58.81,59.56,84.83,4.01,0.13605182926829396,0.9677419354838713,0.9343746141498952,0.6475595913734393,0.48043108338060125,0.12550948040910892,0.47036063490027485,0.4563071598391189,0.8215507411630558,1.0,0.7179437812860995,main,tushare_proxy,化工原料,主板,65.74,59.88,1.0,1.0,65.29,0.9897901304594441,0.0,10.7042029105,6.527369825,0.45106854717364686,0.30616464948262184,10.7995,,27.0816,2.9419,3.2369,1.3165,174.54674979,3.0086,27.2128,85.1104,16.3702,31.5164,0.4056,20260331
4,2026-06-18,600497,驰宏锌锗,10.28,79.93,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,mid_growth,中盘成长,中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。,0.0,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 79.9；个股画像 中盘成长，中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 11.26%；60日动量 26.91%；20日成交 18.94亿；换手 5.1042%；PE_TTM 43.0788；ROE 3.9568；门禁扣分 0.0；核心候选,True,2645541.136,26.45541136,1.7822,51.8,5.54,-0.99,57.64,84.83,77.27,2.33,0.5784632034632032,0.7391477499004377,0.6832395247029394,0.8178206583427923,0.8014747589336358,0.4456890385019986,0.3987711398518847,0.3717226164823266,0.4806157354618016,1.0,0.8030462184873944,main,tushare_proxy,铅锌,主板,62.67,61.16,1.0,1.0,64.83,0.9872376630743052,0.0,18.9441448695,15.595350154333333,0.6395256312637072,0.6403282801063046,5.1042,,43.0788,3.0141,2.0499,0.9728,518.1511154,3.9568,20.883,33.8762,23.661,27.879,0.1748,20260331
5,2026-06-18,688629,华丰科技,158.0,79.78,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,mid_growth,中盘成长,中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。,0.0,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 79.8；个股画像 中盘成长，中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 17.86%；60日动量 43.71%；20日成交 30.10亿；换手 10.4873%；PE_TTM 171.3102；ROE 5.2017；门禁扣分 0.0；核心候选,True,3024371.897,30.24371897,0.6049,45.9,5.86,-0.86,57.24,75.25,71.5,4.28,0.9911047292257198,0.8415499363289065,0.07857733664185304,0.9006810442678774,0.6619398752127056,0.5579685058722327,0.5171906932917029,0.6788384322191333,0.24971493728620298,1.0,1.0,star,tushare_proxy,元器件,科创板,80.88,52.28,1.0,1.0,64.68,0.9858196256381169,0.0,30.103794844000003,30.4149983035,0.7730660962824304,0.9481807604817795,10.4873,,171.3102,38.3897,26.8504,,739.842742,5.2017,30.3411,230.4283,56.1486,51.8627,0.928,20260331
6,2026-06-18,002850,科达利,203.81,79.43,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,mid_growth,中盘成长,中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。,0.0,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 79.4；个股画像 中盘成长，中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 -1.54%；60日动量 33.19%；20日成交 12.24亿；换手 2.4721%；PE_TTM 31.7245；ROE 3.2945；门禁扣分 0.0；核心候选,True,1065273.54704,10.652735470400001,-0.0343,28.3,3.19,0.06,57.01,64.36,85.46,2.55,0.0,0.9416690207057056,0.9146706299573842,0.6952326901248581,0.7697107203630176,0.4693732610963063,0.3023400122585359,0.4067199612101467,0.7457240592930445,1.0,0.9018398216756761,main,tushare_proxy,电气设备,主板,63.15,57.5,1.0,1.0,64.29,0.9835507657402155,0.0,12.2432054832,12.0373198264,0.499457255991032,0.47897900881707806,2.4721,,31.7245,4.2647,3.5696,1.1918,583.0509514299999,3.2945,21.1662,19.0609,37.0856,42.3151,0.8016,20260331
7,2026-06-18,000960,锡业股份,41.74,78.66,buy,0.045,core_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,mid_growth,中盘成长,中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。,0.0,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.0,0.12,0.33,0.22,0.08,0.25,,中长期质量成长 3-12月；综合评分 78.7；个股画像 中盘成长，中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 15.02%；60日动量 27.96%；20日成交 38.87亿；换手 6.6537%；PE_TTM 29.422；ROE 3.8292；门禁扣分 0.0；核心候选,True,4604593.80591,46.045938059099996,0.7483,40.2,6.25,0.97,57.63,88.89,69.66,2.16,0.8136194543951509,0.7728486382785152,0.5746654084604222,0.934733257661748,0.8508224617129893,0.37354122082951224,0.4114114842771301,0.3765196065504604,0.30501710376282787,1.0,0.835918367346939,main,tushare_proxy,小金属,主板,60.58,64.08,1.0,1.0,63.37,0.9801474758933636,0.0,38.870181096995005,28.615609017165003,0.7326257292936585,0.5338327976150015,6.6537,,29.422,3.3147,1.3915,0.8625,686.8033168,3.8292,10.044,73.71,59.8583,47.3526,-0.2102,20260331
8,2026-06-18,603259,药明康德,102.72,81.13,watch,0.0,watch_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,large_quality,大盘质量,大盘质量股更看重基本面、估值和长期风险控制，降低追涨权重。,0.6,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.5,0.08,0.38,0.25,0.06,0.23,weak_price_alpha,中长期质量成长 3-12月；综合评分 81.1；个股画像 大盘质量，大盘质量股更看重基本面、估值和长期风险控制，降低追涨权重。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 -1.45%；60日动量 13.00%；20日成交 42.53亿；换手 2.3023%；PE_TTM 15.2255；ROE 5.2163；门禁扣分 5.0；观察候选,True,5799270.625,57.99270625,4.6029,75.6,6.73,-0.41,24.97,84.72,87.98,1.72,0.0,0.29042904290428984,0.3561662753763293,0.9409761634506243,0.9733408961996597,0.25085878591679556,0.169882593980551,0.21475008000784734,0.8700114025085519,1.0,0.7252747252747251,main,tushare_proxy,化学制药,主板,76.3,71.39,1.0,1.0,73.04,1.0,5.0,42.528688787,45.561543978833335,0.41007673150950813,0.8028190488700817,2.3023,,15.2255,3.6391,6.3538,1.8782,3064.91539584,5.2163,50.4026,26.6767,28.8068,21.0799,1.2051,20260331
9,2026-06-18,603379,三美股份,65.43,78.61,watch,0.0,watch_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,mid_growth,中盘成长,中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。,0.0,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.0,0.12,0.33,0.22,0.08,0.25,weak_price_alpha,中长期质量成长 3-12月；综合评分 78.6；个股画像 中盘成长，中盘成长股按均衡成长框架评分，兼顾趋势、质量和成交承接。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 18.90%；60日动量 4.14%；20日成交 8.81亿；换手 2.8029%；PE_TTM 18.4374；ROE 5.939；门禁扣分 5.0；观察候选,True,1129918.698,11.299186980000002,-5.1051,19.7,5.83,-0.99,39.38,61.38,87.59,1.81,0.975708581559935,0.004456469839248974,0.4241294387958678,0.5749148694665154,0.7515598411798071,0.3715310515115585,0.26043977239113975,0.19619312174345593,0.7690992018244014,1.0,0.8176732621982806,main,tushare_proxy,化工原料,主板,73.85,69.89,1.0,1.0,69.47,0.9994327850255247,5.0,8.806560587,6.490946131,0.48392615314243903,0.919303775400622,2.8029,,18.4374,4.6334,6.6179,2.3231,399.4364097,5.939,53.4236,26.2908,15.3568,17.7032,0.7768,20260331
10,2026-06-18,688498,源杰科技,1673.36,77.97,watch,0.0,watch_candidate,medium,institutional_score_v7_midlong_profile_adaptive_tushare,mid_long_quality_3_12m,中长期质量成长 3-12月,large_quality,大盘质量,大盘质量股更看重基本面、估值和长期风险控制，降低追涨权重。,0.6,1.0,buy,defensive,缩量防御,0.2153,0.3033,-0.1004,0.9248,0.4773,市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。,78.5,0.08,0.38,0.25,0.06,0.23,alpha_buy_gate,中长期质量成长 3-12月；综合评分 78.0；个股画像 大盘质量，大盘质量股更看重基本面、估值和长期风险控制，降低追涨权重。；市场风格 缩量防御，市场广度或成交不足，降低追涨权重，提高风控、质量和估值门槛。；20日动量 61.20%；60日动量 50.08%；20日成交 81.23亿；换手 3.5827%；PE_TTM 585.132；ROE 7.3271；门禁扣分 4.0；观察候选,True,7341815.16,73.4181516,3.8065,67.9,7.46,-0.74,54.42,93.05,67.63,6.61,0.0,0.725845890179203,0.0,0.9795686719636776,0.9653998865570051,1.0,0.6741618732457183,1.0,0.033067274800456126,1.0,0.8810761739704547,star,tushare_proxy,半导体,科创板,94.84,46.98,1.0,1.0,67.27,0.996596710153148,4.0,81.227502767,58.571129072,1.044466946086026,0.7247790730492071,3.5827,,585.132,82.5173,238.8295,0.0411,2083.33822008,7.3271,77.8079,1153.072,320.9399,10.7162,0.4613,20260331
